序号,课程号,课程名称,课程类型,开课单位,班号,学分,执行计划编号,起止周,上课时间,教师,备注
2673,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,13,0,BZ2526104832363138509,1-16,星期三(第10节-第11节),张路,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2674,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,14,0,BZ2526104832363149426,1-16,星期三(第10节-第11节),闫宏飞,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2675,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,15,0,BZ2526104832363151152,1-16,星期三(第10节-第11节),金鑫,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2676,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,16,0,BZ2526104832363168817,1-16,星期三(第10节-第11节),崔斌,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2677,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,17,0,BZ2526104832363174712,1-16,星期三(第10节-第11节),王亚沙,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2678,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,18,0,BZ2526104832363180139,1-16,星期三(第10节-第11节),杨仝,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2679,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,19,0,BZ2526104832363190492,1-16,星期三(第10节-第11节),杨智,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2680,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,20,0,BZ2526104832363205928,1-16,星期三(第10节-第11节),,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2681,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,21,0,BZ2526104832363211082,1-16,星期三(第10节-第11节),赵俊峰,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2682,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,22,0,BZ2526104832363223276,1-16,星期三(第10节-第11节),王迪,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2683,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,23,0,BZ2526104832363233179,1-16,星期三(第10节-第11节),李文新,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2684,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,24,0,BZ2526104832363246642,1-16,星期三(第10节-第11节),邹磊,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2685,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,25,0,BZ2526104832363256095,1-16,星期三(第10节-第11节),陈翔,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2686,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,26,0,BZ2526104832363260513,1-16,星期三(第10节-第11节),刘古月,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2687,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,27,0,BZ2526104832363277086,1-16,星期三(第10节-第11节),彭宇新,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2688,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,28,0,BZ2526104832363289606,1-16,星期三(第10节-第11节),卓有为,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2689,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,29,0,BZ2526104832363293448,1-16,星期三(第10节-第11节),周迪宇,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2690,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,30,0,BZ2526104832363305500,1-16,星期三(第10节-第11节),陆俊林,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2691,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,31,0,BZ2526104832363313316,1-16,星期三(第10节-第11节),陆俊林,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2692,04832363,计算机系统导论讨论班,专业必修,信息科学技术学院,32,0,BZ2526104832363322901,1-16,星期三(第10节-第11节),陆俊林,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2693,04832400,高级光电子技术实验,专业任选,信息科学技术学院,1,3,BZ2526104832400_18132,1-16,,齐向晖王爱民王青贺轩,周四下午1点开始，理二2242
2694,04832410,原子物理导论,专业任选,信息科学技术学院,1,2,BZ2526104832410_10467,1-16,星期五(第3节-第4节),王延辉,
2695,04832440,光学,专业任选,信息科学技术学院,1,3,BZ2526104832440_14476,1-16,星期一(第1节-第2节)(双)星期三(第3节-第4节),陈章渊解晓鹏,
2696,04832540,中级算法应用技巧,专业任选,信息科学技术学院,1,4,BZ2526104832540_11027,1-16,,罗国杰,竞赛
2697,04832550,高级算法应用技巧,专业任选,信息科学技术学院,1,6,BZ2526104832550_12703,1-16,,罗国杰,竞赛
2698,04832640,数学物理方法,专业必修,信息科学技术学院,1,3,BZ2526104832640_16808,1-16,星期二(第7节-第8节)星期四(第1节-第2节),彭超,
2699,04832830,通信与计算机网络,专业限选,元培学院,1,3,BZ2526104832830_19990,1-16,星期二(第3节-第4节)星期四(第5节-第6节)(双),边凯归,
2700,04833020,软件分析技术,专业限选,信息科学技术学院,1,3,BZ2526104833020_13554,1-16,星期二(第5节-第6节)星期四(第3节-第4节)(双),熊英飞,
2701,04833030,文献写作与报告,通选课,信息科学技术学院,1,2,BZ2526104833030_12941,1-16,星期三(第5节-第6节),胡薇薇段晓辉陈江解晓鹏,
2702,04833040,计算机系统导论,专业必修,信息科学技术学院,1,5,BZ2526104833040_17489,1-16,星期一(第5节-第6节)星期四(第5节-第6节),陈向群刘先华,小班课上课时间：每周三10-11节课。请选大班的同学空出小班上课时间，小班会手动添加，冲突选课无法添加。
2703,04833040,计算机系统导论,专业必修,信息科学技术学院,2,5,BZ2526104833040_24882,1-16,星期一(第5节-第6节)星期四(第5节-第6节),管雪涛,小班课上课时间：每周三10-11节课。请选大班的同学空出小班上课时间，小班会手动添加，冲突选课无法添加。
2704,04833040,计算机系统导论,专业必修,信息科学技术学院,3,5,BZ2526104833040_32232,1-16,星期一(第5节-第6节)星期四(第5节-第6节),陆俊林,图灵班、拔尖班。小班上课时间：每周三10-11节。请空出小班上课时间，小班手动添加，冲突选课无法添加。
2705,04833170,密码学与网络空间安全,专业必修,元培学院,1,3,BZ2526104833170_12120,1-16,星期二(第7节-第9节),陈钟,
2706,04833230,连接世界的通信,通选课,信息科学技术学院,1,2,BZ2526104833230_19521,1-16,星期四(第5节-第6节),毛新宇,
2707,04833370,信息科学中的物理学（上）,专业必修,信息科学技术学院,1,3,BZ2526104833370_14308,1-16,星期一(第5节-第6节)星期三(第3节-第4节),唐克超程哲,
2708,04833400,离散数学与结构（I）,专业必修,信息科学技术学院,1,3,BZ2526104833400_16555,1-16,星期二(第5节-第6节)星期四(第3节-第4节),刘天任,图灵班
2709,04833420,机器学习,专业必修,信息科学技术学院,1,3,BZ2526104833420_16956,1-16,星期二(第7节-第9节),王立威,
2710,04833460,前沿计算研究实践（I）,专业必修,信息科学技术学院,1,3,BZ2526104833460_11745,1-16,星期三(第7节-第9节),黄铁军邓小铁,图灵班、拔尖班。
2711,04833500,量子、信息与生命,全校公选课,信息科学技术学院,1,2,BZ2526104833500_17519,1-16,星期四(第5节-第6节),任全胜,
2712,04833530,智能硬件应用实验,专业任选,信息科学技术学院,0,2,BZ2526104833530_09099,1-1,星期三(第10节-第11节),杨延军,此班不选，上一次大课
2713,04833530,智能硬件应用实验,专业任选,信息科学技术学院,1,2,BZ2526104833530_11642,2-16,,杨延军贺轩,第二周开始，周一晚上
2714,04833530,智能硬件应用实验,专业任选,信息科学技术学院,2,2,BZ2526104833530_27843,2-16,,吕国成,第二周开始，周四晚上
2715,04833820,电子线路分析与设计,专业必修,信息科学技术学院,1,5,BZ2526104833820_15870,1-16,星期一(第3节-第4节)星期三(第1节-第2节),胡薇薇陈江,
2716,04833821,电子线路分析与设计研讨班,专业必修,信息科学技术学院,1,0,BZ2526104833821_13880,1-16,星期二(第10节-第11节),胡薇薇,
2717,04833821,电子线路分析与设计研讨班,专业必修,信息科学技术学院,2,0,BZ2526104833821_29727,1-16,星期二(第10节-第11节),张诚,
2718,04833821,电子线路分析与设计研讨班,专业必修,信息科学技术学院,3,0,BZ2526104833821_31410,1-16,星期二(第10节-第11节),王志军,
2719,04833821,电子线路分析与设计研讨班,专业必修,信息科学技术学院,4,0,BZ2526104833821_49392,1-16,星期二(第10节-第11节),陈荣梅,
2720,04833821,电子线路分析与设计研讨班,专业必修,信息科学技术学院,5,0,BZ2526104833821_56017,1-16,星期二(第10节-第11节),毛新宇,
2721,04833830,微处理器与接口技术,专业必修,信息科学技术学院,1,3,BZ2526104833830_16005,1-16,星期二(第3节-第4节)星期四(第1节-第2节)(单),依那,
2722,04833831,微处理器与接口技术实验,专业任选,信息科学技术学院,1,2,BZ2526104833831_12580,1-16,,叶红飞,周三晚上，理一；1231
2723,04833870,集成电路器件导论,专业必修,信息科学技术学院,1,4,BZ2526104833870_18303,1-16,星期三(第3节-第4节)星期五(第1节-第2节),王宗巍,
2724,04833880,创新与快速原型研制,通选课,信息科学技术学院,1,2,BZ2526104833880_17720,1-16,星期一(第10节-第11节),陈江,二教地下极客实验室
2725,04833900,密码学基础,专业限选,信息科学技术学院,1,3,BZ2526104833900_11052,1-16,星期三(第7节-第9节),刘天任,优先图灵班。
2726,04834100,信息科学中的数学,专业任选,信息科学技术学院,1,2,BZ2526104834100_13603,1-16,星期四(第7节-第8节),孔雨晴,优先图灵班
2727,04834200,编译原理,专业必修,信息科学技术学院,1,4,BZ2526104834200_11935,1-16,星期三(第1节-第2节)星期五(第5节-第6节),张路刘先华王迪,
2728,04834210,计算机网络,专业限选,信息科学技术学院,1,4,BZ2526104834210_18448,1-16,星期一(第5节-第6节)星期三(第1节-第2节),黄群,
2729,04834220,软件工程,专业必修,信息科学技术学院,1,4,BZ2526104834220_18175,1-16,星期二(第3节-第4节)星期四(第5节-第6节),孙艳春,
2730,04834240,人工智能、机器人与伦理,专业任选,信息科学技术学院,1,2,BZ2526104834240_13605,1-16,星期五(第3节-第4节),罗定生王昱洲,
2731,04834250,机器学习在数据分析预测中的应用,专业任选,信息科学技术学院,1,3,BZ2526104834250_19726,1-16,星期三(第7节-第9节),李斗,
2732,04834260,操作系统,专业必修,信息科学技术学院,1,4,BZ2526104834260_12402,1-16,星期一(第7节-第8节)星期三(第3节-第4节),陈向群,
2733,04834280,通信原理（实验班）,专业必修,信息科学技术学院,1,3,BZ2526104834280_16165,1-16,星期一(第7节-第8节)星期四(第5节-第6节)(双),程翔,
2734,04834290,信号与系统（实验班）,专业必修,信息科学技术学院,1,3,BZ2526104834290_16435,1-16,星期二(第3节-第4节)星期五(第1节-第2节),蒋伟,信班手动选课
2735,04834340,纳米光电集成电路,专业限选,信息科学技术学院,1,3,BZ2526104834340_15184,1-16,星期三(第1节-第2节)(单)星期五(第3节-第4节),王兴军张志勇丁力舒浩文,
2736,04834350,医学通识：信息时代的健康素养,通选课,信息科学技术学院,1,2,BZ2526104834350_11903,1-16,星期一(第10节-第11节),陆俊林,与医学部薄世宁老师合开
2737,04834470,计算概论（C）,文科生必修,信息科学技术学院,10,3,BZ2526104834470105932,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),穗志方,同时选04831435”计算机实习“10号班
2738,04834470,计算概论（C）,文科生必修,新闻与传播学院,14,3,BZ2526104834470147702,1-16,星期三(第2节-第4节),陈沫,上课地点：五四209教室
2739,04834470,计算概论（C）,文科生必修,信息科学技术学院,8,3,BZ2526104834470_87042,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),钱丽艳,同时选04831435”计算机实习“8号班
2740,04834470,计算概论（C）,文科生必修,信息科学技术学院,9,3,BZ2526104834470_97950,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),苏祺,同时选04831435”计算机实习“9号班
2741,04834470,计算概论（C）,文科生必修,信息科学技术学院,11,3,BZ2526104834470119315,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),唐大仕,同时选04831435”计算机实习“11号班
2742,04834470,计算概论（C）,文科生必修,信息科学技术学院,12,3,BZ2526104834470124144,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),吴建军,同时选04831435”计算机实习“12号班
2743,04834470,计算概论（C）,文科生必修,信息科学技术学院,13,3,BZ2526104834470133827,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),吴云芳,同时选04831435”计算机实习“13号班
2744,04834470,计算概论（C）,文科生必修,信息科学技术学院,6,3,BZ2526104834470141034,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),杨春,同时选04831435”计算机实习“14号班
2745,04834470,计算概论（C）,文科生必修,信息科学技术学院,5,3,BZ2526104834470154964,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),张成,同时选04831435”计算机实习“5号班
2746,04834470,计算概论（C）,文科生必修,信息科学技术学院,1,3,BZ2526104834470_16800,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),常宝宝,同时选04831435”计算机实习“1号班
2747,04834470,计算概论（C）,文科生必修,信息科学技术学院,2,3,BZ2526104834470_24601,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),陈斌,同时选04831435”计算机实习“2号班
2748,04834470,计算概论（C）,文科生必修,信息科学技术学院,3,3,BZ2526104834470_35235,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),邓习峰,同时选04831435”计算机实习“3号班
2749,04834470,计算概论（C）,文科生必修,信息科学技术学院,4,3,BZ2526104834470_44451,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),郭炜,同时选04831435”计算机实习“4号班
2750,04834470,计算概论（C）,文科生必修,信息科学技术学院,7,3,BZ2526104834470_79597,1-16,星期二(第5节-第6节)星期四(第1节-第2节)(双),马郓,同时选04831435”计算机实习“7号班
2751,04834472,人工智能与计算思维,通选课,信息科学技术学院,1,3,BZ2526104834472_18368,1-16,星期一(第7节-第8节),郭炜,课程方向“金融、通用”，同时选04831435“计算机实习”16号班
2752,04834472,人工智能与计算思维,通选课,信息科学技术学院,2,3,BZ2526104834472_24335,1-16,星期一(第7节-第8节),邓习峰,课程方向“金融、交通、社科大数据”，同时选04831435“计算机实习”17号班
2753,04834472,人工智能与计算思维,通选课,信息科学技术学院,3,3,BZ2526104834472_31604,1-16,星期一(第7节-第8节),刘扬,课程方向“语言（中外文）计算信息管理”，同时选04831435“计算机实习”18号班
2754,04834472,人工智能与计算思维,通选课,信息科学技术学院,4,3,BZ2526104834472_43428,1-16,星期一(第7节-第8节),崔锦实,课程方向“认知与心理学、心理健康应用”，同时选04831435“计算机实习”19号班
2755,04834472,人工智能与计算思维,通选课,信息科学技术学院,5,3,BZ2526104834472_52364,1-16,星期一(第7节-第8节),裴玉茹,课程方向“医学”，同时选04831435“计算机实习”20号班
2756,04834472,人工智能与计算思维,通选课,信息科学技术学院,6,3,BZ2526104834472_63774,1-16,星期一(第7节-第8节),尚俊杰,课程方向“学习科学”，同时选04831435“计算机实习”21号班
2757,04834480,计算机网络（实验班）,专业限选,信息科学技术学院,1,4,BZ2526104834480_17491,1-16,星期一(第5节-第6节)星期三(第1节-第2节),许辰人,
2758,04834490,操作系统（实验班）,专业必修,信息科学技术学院,1,4,BZ2526104834490_12956,1-16,星期一(第7节-第8节)星期三(第3节-第4节),郭耀,
2759,04834520,强化学习,专业限选,信息科学技术学院,1,3,BZ2526104834520_15757,1-16,星期四(第10节-第12节),李文新,
2760,04834530,机器视觉与边缘智能,专业任选,信息科学技术学院,1,2,BZ2526104834530_17275,1-16,星期一(第3节-第4节)星期四(第5节-第6节)(单),段晓辉,
2761,04834550,化合物半导体及光电子器件,专业限选,信息科学技术学院,1,3,BZ2526104834550_16661,1-16,星期二(第5节-第6节)(单)星期四(第1节-第2节),周劲,
2762,04834590,芯片设计自动化与智能优化,专业任选,信息科学技术学院,1,3,BZ2526104834590_15814,1-16,星期一(第5节-第6节)(双)星期三(第7节-第8节),林亦波,
2763,04834650,开源软件技术,专业限选,信息科学技术学院,1,3,BZ2526104834650_11648,1-16,星期三(第7节-第9节),周明辉,
2764,04834660,电路、信号与系统,专业必修,信息科学技术学院,1,3,BZ2526104834660_12214,1-16,星期一(第3节-第4节)星期三(第1节-第2节)(双),张雅聪汝嘉耘,
2765,04834690,半导体物理,专业必修,信息科学技术学院,1,3,BZ2526104834690_19779,1-16,星期一(第5节-第6节)(单)星期三(第7节-第8节),康晋锋,
2766,04834690,半导体物理,专业必修,信息科学技术学院,2,3,BZ2526104834690_29738,1-16,星期一(第5节-第6节)(单)星期三(第7节-第8节),黎明,
2767,04834691,半导体物理研讨班,专业必修,信息科学技术学院,1,0,BZ2526104834691_17873,1-16,星期一(第5节-第6节)(双),康晋锋,
2768,04834691,半导体物理研讨班,专业必修,信息科学技术学院,2,0,BZ2526104834691_25526,1-16,星期一(第5节-第6节)(双),黎明,
2769,04834691,半导体物理研讨班,专业必修,信息科学技术学院,3,0,BZ2526104834691_34698,1-16,星期一(第5节-第6节)(双),刘晓彦,
2770,04834691,半导体物理研讨班,专业必修,信息科学技术学院,4,0,BZ2526104834691_43376,1-16,星期一(第5节-第6节)(双),程哲,
2771,04834691,半导体物理研讨班,专业必修,信息科学技术学院,5,0,BZ2526104834691_54830,1-16,星期一(第5节-第6节)(双),刘飞,
2772,04834691,半导体物理研讨班,专业必修,信息科学技术学院,6,0,BZ2526104834691_64274,1-16,星期一(第5节-第6节)(双),王茂俊,
2773,04834691,半导体物理研讨班,专业必修,信息科学技术学院,7,0,BZ2526104834691_76653,1-16,星期一(第5节-第6节)(双),唐克超,
2774,04834700,集成电路原理与设计,专业必修,信息科学技术学院,1,5,BZ2526104834700_15860,1-16,星期一(第7节-第8节)星期四(第5节-第6节),王源张雅聪,
2775,04834701,集成电路原理与设计实践课,专业必修,信息科学技术学院,1,0,BZ2526104834701_14180,1-16,,崔莹莹,
2776,04834701,集成电路原理与设计实践课,专业必修,信息科学技术学院,2,0,BZ2526104834701_26234,1-16,,张雅聪,
2777,04834701,集成电路原理与设计实践课,专业必修,信息科学技术学院,3,0,BZ2526104834701_39194,1-16,,贾天宇,
2778,04834701,集成电路原理与设计实践课,专业必修,信息科学技术学院,4,0,BZ2526104834701_48647,1-16,,唐希源,
2779,04834760,智能机器人系统导论,专业限选,信息科学技术学院,1,3,BZ2526104834760_18429,1-16,星期三(第7节-第9节),王韬孙蕴嘉,
2780,04834830,数字集成电路与系统,专业必修,信息科学技术学院,1,4,BZ2526104834830_16798,1-16,星期二(第5节-第6节)(双)星期四(第7节-第8节),贾嵩,
2781,04834831,数字集成电路与系统设计实验,专业必修,信息科学技术学院,1,0,BZ2526104834831_14044,1-16,,贾嵩,
2782,04834840,模拟集成电路与系统,专业必修,信息科学技术学院,1,4,BZ2526104834840_13338,1-16,星期二(第5节-第6节)(单)星期五(第3节-第4节),陈中建,
2783,04834841,模拟集成电路与系统实践课,专业必修,信息科学技术学院,1,0,BZ2526104834841_17378,1-16,,陈中建,
2784,04834851,高层次芯片设计,专业任选,信息科学技术学院,1,2,BZ2526104834851_14918,1-16,星期二(第3节-第4节),梁云,
2785,04834890,先进电子材料,专业任选,信息科学技术学院,1,3,BZ2526104834890_15081,1-16,星期二(第7节-第8节)星期四(第1节-第2节)(单),康晋锋刘力锋刘飞,
2786,04834930,高级渲染技术,专业任选,信息科学技术学院,1,2,BZ2526104834930_13144,1-16,星期三(第5节-第6节),陈文拯,
2787,04834940,量子计算,专业任选,信息科学技术学院,1,3,BZ2526104834940_12172,1-16,星期三(第5节-第6节)(单)星期五(第5节-第6节),李彤阳,
2788,04834970,固体电子学,专业任选,信息科学技术学院,1,3,BZ2526104834970_12653,1-16,星期二(第3节-第4节)星期四(第5节-第6节)(双),刘飞,
2789,04834990,智能机器人概论,专业限选,信息科学技术学院,1,3,BZ2526104834990_10848,1-16,星期三(第7节-第9节),赵卉菁,
2790,04835000,可视计算与交互概论,专业必修,信息科学技术学院,1,4,BZ2526104835000_16732,1-16,星期一(第1节-第2节)星期二(第5节-第6节),陈宝权楚梦渝,
2791,04835010,多模态学习,专业必修,信息科学技术学院,1,3,BZ2526104835010_17839,1-16,星期一(第3节-第4节)星期四(第5节-第6节)(单),刘洋,
2792,04835020,可视化与可视分析,专业任选,信息科学技术学院,1,3,BZ2526104835020_12802,1-16,星期三(第7节-第8节),袁晓如,
2793,04835030,计算机视觉,专业必修,信息科学技术学院,1,3,BZ2526104835030_19362,1-16,星期二(第10节-第11节)(双)星期四(第3节-第4节),王鹏帅,
2794,04835040,智能科学研究实践I,专业必修,信息科学技术学院,1,2,BZ2526104835040_17728,1-16,星期一(第7节-第8节),陈宝权,只限智班手动选课
2795,04835050,人工智能中的编程,专业任选,信息科学技术学院,1,3,BZ2526104835050_18021,1-16,星期三(第5节-第6节)(单)星期四(第10节-第11节),梁一韬楚梦渝王鹏帅,
2796,04835060,人工智能中的数学,专业必修,信息科学技术学院,1,4,BZ2526104835060_18725,1-16,星期二(第7节-第8节)星期四(第7节-第8节),方聪,
2797,04835070,认知推理,专业必修,信息科学技术学院,1,3,BZ2526104835070_14490,1-16,星期二(第5节-第6节)(单)星期四(第7节-第8节),朱毅鑫,
2798,04835090,文本数据挖掘与社会科学计算,全校公选课,信息科学技术学院,1,2,BZ2526104835090_17026,1-16,星期四(第7节-第8节),胡俊峰,
2799,04835250,电子信息前沿与顶点实践（上）,专业任选,信息科学技术学院,1,3,BZ2526104835250_10566,1-16,,宋令阳邸博雅,周四10-12上一次大课
2800,04835310,离散数学基础,专业必修,信息科学技术学院,4,3,BZ2526104835310_42146,1-16,星期二(第7节-第8节)星期四(第3节-第4节),陈国璋,--补录
2801,04835310,离散数学基础,专业必修,信息科学技术学院,1,3,BZ2526104835310_18870,1-16,星期二(第7节-第8节)星期四(第3节-第4节)(单),曹永知,
2802,04835310,离散数学基础,专业必修,信息科学技术学院,2,3,BZ2526104835310_24219,1-16,星期二(第7节-第8节)星期四(第3节-第4节)(单),刘田,
2803,04835310,离散数学基础,专业必修,信息科学技术学院,3,3,BZ2526104835310_31576,1-16,星期二(第7节-第8节)星期四(第3节-第4节)(单),张昕,
2804,04835331,集成电路制造技术实践课,专业必修,信息科学技术学院,1,0,BZ2526104835331_14575,1-16,,韩德栋周正,周五下午5-6
2805,04835331,集成电路制造技术实践课,专业必修,信息科学技术学院,2,0,BZ2526104835331_29098,1-16,,韩德栋周正,周五下午7-8
2806,04835331,集成电路制造技术实践课,专业必修,信息科学技术学院,3,0,BZ2526104835331_30975,1-16,,韩德栋周正,周五下午10-11
2807,04835332,集成电路制造技术,专业必修,信息科学技术学院,1,3,BZ2526104835332_15935,1-16,星期一(第3节-第4节)星期三(第5节-第6节)(双),吴文刚孙雷,
2808,04835332,集成电路制造技术,专业必修,信息科学技术学院,2,3,BZ2526104835332_25777,1-16,星期一(第3节-第4节)星期三(第5节-第6节)(双),孙雷,--补录
2809,04835340,高等模拟集成电路,专业任选,信息科学技术学院,1,3,BZ2526104835340_17185,1-16,星期二(第5节-第6节)(双)星期四(第3节-第4节),鲁文高唐希源,
2810,04835350,电子线路原理（实验班）,专业必修,信息科学技术学院,1,3,BZ2526104835350_15110,1-16,星期二(第1节-第2节)星期四(第3节-第4节),陈江鲁文高张泓亮,信班手动选课
2811,04835380,基于深度学习的自然语言理解,专业任选,信息科学技术学院,1,2,BZ2526104835380_11098,1-16,星期五(第7节-第8节),邓志鸿,
2812,04835390,生成模型基础,专业任选,信息科学技术学院,1,3,BZ2526104835390_16610,1-16,星期二(第1节-第2节)(双)星期五(第3节-第4节),贺笛,
2813,04835400,自然语言处理,专业必修,信息科学技术学院,1,3,BZ2526104835400_14234,1-16,星期二(第5节-第6节)星期四(第3节-第4节)(双),孙栩,
2814,04835411,信息科学技术劳动实践,专业任选,信息科学技术学院,1,1,BZ2526104835411_13930,1-16,,吕媛贾方健,限信科学生选
2815,04835420,科研轮转实习,专业任选,信息科学技术学院,1,0,BZ2526104835420_13825,1-16,,陆俊林,
2816,04835420,科研轮转实习,专业任选,信息科学技术学院,2,0,BZ2526104835420_28137,1-16,,陆俊林,
2817,04835420,科研轮转实习,专业任选,信息科学技术学院,3,0,BZ2526104835420_35177,1-16,,陆俊林,
2818,04835420,科研轮转实习,专业任选,信息科学技术学院,4,0,BZ2526104835420_40746,1-16,,陆俊林,
2819,04835420,科研轮转实习,专业任选,信息科学技术学院,5,0,BZ2526104835420_54041,1-16,,陆俊林,
2820,04835420,科研轮转实习,专业任选,信息科学技术学院,6,0,BZ2526104835420_68834,1-16,,陆俊林,
2821,04835430,信息学中的概率统计,专业必修,信息科学技术学院,1,3,BZ2526104835430_11356,1-16,星期三(第5节-第6节)(双)星期五(第3节-第4节),王若松,与“00131480 概率统计A”互斥。
2822,04835470,图神经网络,专业任选,信息科学技术学院,1,2,BZ2526104835470_15710,1-16,星期五(第3节-第4节),宋国杰,
2823,04835570,大模型与智能体专题,专业任选,信息科学技术学院,1,2,BZ2526104835570_12858,1-16,星期三(第7节-第8节),卢宗青,
2824,04835580,大语言模型原理、挑战与行业应用,专业任选,信息科学技术学院,1,2,BZ2526104835580_15431,1-16,星期三(第3节-第4节),杨仝,
2825,04835590,量子输运,专业必修,信息科学技术学院,1,3,BZ2526104835590_11517,1-16,星期二(第7节-第8节)星期四(第1节-第2节)(双),侯士敏,
2826,04835600,电子信息研究实践（II）,专业任选,信息科学技术学院,1,3,BZ2526104835600_10782,1-16,星期一(第10节-第11节),王润声,限信班选课，需修过I
2827,04835610,元宇宙技术导论,全校公选课,信息科学技术学院,1,2,BZ2526104835610_13751,1-16,星期四(第3节-第4节),肖臻,
2828,04835620,电子工程实训,全校公选课,信息科学技术学院,1,2,BZ2526104835620_16963,1-16,,毛新宇,周三5-6；理科二号楼2260
2829,04835620,电子工程实训,全校公选课,信息科学技术学院,2,2,BZ2526104835620_28906,1-16,,高崧,周三5-6，理科二号楼2258
2830,04835620,电子工程实训,全校公选课,信息科学技术学院,3,2,BZ2526104835620_35249,1-16,,贺轩,周三5-6，理科二号楼2258
2831,04835620,电子工程实训,全校公选课,信息科学技术学院,4,2,BZ2526104835620_44377,1-16,,王青,周三7-8，理科二号楼2258
2832,04835620,电子工程实训,全校公选课,信息科学技术学院,5,2,BZ2526104835620_51857,1-16,,董明科,周三7-8，理科二号楼2260
2833,04835680,先进芯片全栈设计与实践（1）,专业任选,信息科学技术学院,1,3,BZ2526104835680_13158,1-16,,贾天宇,第一周周四10-12上大课，后续周四晚进实验室，限信班手选
2834,04835680,先进芯片全栈设计与实践（1）,专业任选,信息科学技术学院,2,3,BZ2526104835680_27578,1-16,,舒浩文,第一周周四10-12上大课，后续周三晚进实验室，限信班手选
2835,04835740,图像与想象,全校公选课,信息科学技术学院,1,2,BZ2526104835740_19761,1-16,星期一(第7节-第8节),陈毅松,该课程为“04835560 趣谈图像计算”的替代课。
2836,04835750,具身智能与通用智能体,专业任选,信息科学技术学院,1,3,BZ2526104835750_11600,1-16,星期四(第7节-第9节),赵卉菁罗定生,
2837,04835760,集成电路器件原理与实践（实验班）（I）,专业必修,信息科学技术学院,1,4,BZ2526104835760_12137,1-16,星期三(第7节-第8节)星期五(第3节-第4节)(双),黄鹏,只限信班手动选课
2838,04852240,视觉艺术与计算美学,全校公选课,信息科学技术学院,1,2,BZ2526104852240_13704,1-16,星期一(第3节-第4节),刘家瑛,
2839,06232000,经济学原理,通选课,国家发展研究院,1,4,BZ2526106232000_18876,1-16,星期二(第10节-第12节),张维迎,
2840,06232000,经济学原理,通选课,国家发展研究院,2,4,BZ2526106232000_21166,1-16,星期三(第10节-第11节)星期四(第10节-第11节),汪浩,
